planName, telemetryRowIndex, microsecondsSinceGpsEpoch, wattsPerM2, wavelength
UpScan, 41255, 943429182000000.2, 0.0011430400453019856, 175.26
UpScan, 41256, 943429183750000.2, 0.001144668267007801, 175.26
UpScan, 41338, 943429327250000.2, 0.0011433162478469527, 175.26
UpScan, 41339, 943429329000000.2, 0.0011408575690136976, 175.26
UpScan, 41254, 943429180250000.2, 0.0011388335050210089, 175.27
UpScan, 41340, 943429330750000.2, 0.0011384116121920585, 175.27
UpScan, 41252, 943429176750000.2, 0.0011362133934349047, 175.28
UpScan, 41253, 943429178500000.2, 0.0011344446241534159, 175.28
UpScan, 41341, 943429332500000.2, 0.0011367092384119053, 175.28
UpScan, 41342, 943429334250000.2, 0.0011344237510077634, 175.28
UpScan, 41251, 943429175000000.2, 0.0011367312533347126, 175.29
UpScan, 41343, 943429336000000.2, 0.001132633821637942, 175.29
UpScan, 41249, 943429171500000.2, 0.0011382591072195412, 175.3
UpScan, 41250, 943429173250000.2, 0.0011362961533741302, 175.3
UpScan, 41344, 943429337750000.2, 0.0011365151370455809, 175.3
UpScan, 41345, 943429339500000.2, 0.0011346535737014629, 175.3
UpScan, 41247, 943429168000000.2, 0.0011415849384985135, 175.31
UpScan, 41248, 943429169750000.2, 0.0011392581099349231, 175.31
UpScan, 41346, 943429341250000.2, 0.001138247358839068, 175.31
UpScan, 41347, 943429343000000.2, 0.0011402279529528056, 175.31
UpScan, 41246, 943429166250000.2, 0.001145169475045111, 175.32
UpScan, 41348, 943429344750000.2, 0.001144901983777436, 175.32
UpScan, 41244, 943429162750000.2, 0.0011502233874584784, 175.33
UpScan, 41245, 943429164500000.2, 0.0011487113311749897, 175.33
UpScan, 41349, 943429346500000.2, 0.0011469209215055236, 175.33
UpScan, 41350, 943429348250000.2, 0.0011482033490154266, 175.33
UpScan, 41243, 943429161000000.2, 0.0011506942358155206, 175.34
UpScan, 41351, 943429350000000.2, 0.001148638907121645, 175.34
UpScan, 41241, 943429157500000.2, 0.0011515282107379308, 175.35
UpScan, 41242, 943429159250000.2, 0.0011540472855606514, 175.35
UpScan, 41352, 943429351750000.2, 0.0011495322086849625, 175.35
UpScan, 41353, 943429353500000.2, 0.0011506911893427894, 175.35
UpScan, 41240, 943429155750000.2, 0.0011522473092257695, 175.36
UpScan, 41354, 943429355250000.2, 0.0011488530978910755, 175.36
UpScan, 41238, 943429152250000.2, 0.001149909403951283, 175.37
UpScan, 41239, 943429154000000.2, 0.001150962902995004, 175.37
UpScan, 41355, 943429357000000.2, 0.0011476599105123887, 175.37
UpScan, 41356, 943429358750000.2, 0.001144848730848913, 175.37
UpScan, 41237, 943429150500000.2, 0.0011483777450115226, 175.38
UpScan, 41357, 943429360500000.2, 0.0011461035296506164, 175.38
UpScan, 41235, 943429147000000.2, 0.001143737438194428, 175.39
UpScan, 41236, 943429148750000.2, 0.0011440438466601209, 175.39
UpScan, 41358, 943429362250000.2, 0.0011446840398743787, 175.39
UpScan, 41359, 943429364000000.2, 0.001142027849768836, 175.39
UpScan, 41233, 943429143500000.2, 0.0011458884786340732, 175.4
