planName, telemetryRowIndex, microsecondsSinceGpsEpoch, wattsPerM2, wavelength
DownScan, 29395, 943413867350000.2, 0.001209558382754152, 175.945
DownScan, 29222, 943413564600000.2, 0.0011939880339842718, 175.98
DownScan, 29176, 943413484100000.2, 0.0011956482793372175, 175.99
DownScan, 29178, 943413487600000.2, 0.0012038076398585586, 176.01
DownScan, 29556, 943414149100000.2, 0.0012035876139070423, 176.01
DownScan, 29184, 943413498100000.2, 0.0012071776250000856, 176.015
DownScan, 29252, 943413617100000.2, 0.001206980068568367, 176.015
DownScan, 29181, 943413492850000.2, 0.0012128431731325262, 176.025
DownScan, 29259, 943413629350000.2, 0.0012159544378008537, 176.03
DownScan, 29260, 943413631100000.2, 0.0012194178724158939, 176.035
DownScan, 29394, 943413865600000.2, 0.0012197964549219814, 176.035
DownScan, 29551, 943414140350000.2, 0.0012236275751706046, 176.04
DownScan, 29262, 943413634600000.2, 0.0012330214298374598, 176.05
DownScan, 29369, 943413821850000.2, 0.0012414926788762905, 176.06
DownScan, 29370, 943413823600000.2, 0.001251056627930614, 176.07
DownScan, 29373, 943413828850000.2, 0.0012509481495550398, 176.07
DownScan, 29283, 943413671350000.2, 0.001267257063878547, 176.1
DownScan, 29357, 943413800850000.2, 0.0012673826512536374, 176.1
DownScan, 29247, 943413608350000.2, 0.0012634680475443266, 176.125
DownScan, 29269, 943413646850000.2, 0.0012861868438348138, 176.15
DownScan, 29310, 943413718600000.2, 0.0012993646166181343, 176.155
DownScan, 29291, 943413685350000.2, 0.0013138209470496538, 176.16
DownScan, 29317, 943413730850000.2, 0.0013134087251992033, 176.16
DownScan, 29234, 943413585600000.2, 0.001347708250119431, 176.17
DownScan, 29297, 943413695850000.2, 0.0013653826826639393, 176.175
DownScan, 29300, 943413701100000.2, 0.0013656688703042228, 176.175
DownScan, 29563, 943414161350000.2, 0.0013653855914893059, 176.175
DownScan, 29460, 943413981100000.2, 0.0013812403115493494, 176.18
DownScan, 29465, 943413989850000.2, 0.0013971814299249638, 176.185
DownScan, 29322, 943413739600000.2, 0.0013390763063883954, 176.235
DownScan, 29548, 943414135100000.2, 0.0013403532454510036, 176.235
DownScan, 29277, 943413660850000.2, 0.0012929193675594918, 176.245
DownScan, 29289, 943413681850000.2, 0.0012910822791154157, 176.245
DownScan, 29228, 943413575100000.2, 0.0012653666621491278, 176.25
DownScan, 29224, 943413568100000.2, 0.0012120177189605434, 176.26
DownScan, 29251, 943413615350000.2, 0.0012118152034714166, 176.26
DownScan, 29367, 943413818350000.2, 0.0012110752684647273, 176.26
DownScan, 29188, 943413505100000.2, 0.0011856230729258475, 176.265
DownScan, 29553, 943414143850000.2, 0.0011856001806648698, 176.265
DownScan, 29204, 943413533100000.2, 0.0011610936784857528, 176.27
DownScan, 29211, 943413545350000.2, 0.0011612302581295829, 176.27
DownScan, 29214, 943413550600000.2, 0.0011611426696313835, 176.27
DownScan, 29217, 943413555850000.2, 0.0011611447541189117, 176.27
DownScan, 29407, 943413888350000.2, 0.001061936465851474, 176.305
DownScan, 29164, 943413463100000.2, 0.001090065136771294, 176.325
DownScan, 29166, 943413466600000.2, 0.0011119574883240832, 176.335
DownScan, 29170, 943413473600000.2, 0.001146504698522323, 176.355
DownScan, 29197, 943413520850000.2, 0.001148127892298136, 176.365
DownScan, 29169, 943413471850000.2, 0.0011414914298857254, 176.38
DownScan, 29171, 943413475350000.2, 0.0011560970264922637, 176.405
DownScan, 29202, 943413529600000.2, 0.0011561986958251239, 176.405
DownScan, 29415, 943413902350000.2, 0.0012008445236581747, 176.42
DownScan, 29393, 943413863850000.2, 0.0012338246354735654, 176.43
DownScan, 29375, 943413832350000.2, 0.0012481839276695325, 176.435
DownScan, 29558, 943414152600000.2, 0.0012490864652090735, 176.435
DownScan, 29284, 943413673100000.2, 0.0012690181932573004, 176.455
DownScan, 29285, 943413674850000.2, 0.0012693844946424344, 176.455
DownScan, 29378, 943413837600000.2, 0.001261950747549326, 176.46
DownScan, 29374, 943413830600000.2, 0.001249302610872479, 176.465
DownScan, 29249, 943413611850000.2, 0.0012352440151522884, 176.47
DownScan, 29174, 943413480600000.2, 0.001178663030778094, 176.485
DownScan, 29189, 943413506850000.2, 0.0011798185919211165, 176.485
DownScan, 29165, 943413464850000.2, 0.001103314336754272, 176.515
DownScan, 29405, 943413884850000.2, 0.0010949626473290165, 176.525
DownScan, 29409, 943413891850000.2, 0.001056405724858418, 176.555
DownScan, 29160, 943413456100000.2, 0.001044331122454916, 176.56
DownScan, 29412, 943413897100000.2, 0.001096248508724752, 176.64
DownScan, 29185, 943413499850000.2, 0.0012046708907940647, 176.655
